scope	path	offset	length	file_size	mtime
VKMT	wine/build-ec/dlls/wined3d/aarch64-windows/wined3d.dll	6225920	42991616	51052544	1785109542
VKMT	wine/build-ec/dxmt-v0.80/aarch64-unix/winemetal.so	0	16351232	27386960	1785514565
VKMT	wine/build-ec/dlls/shell32/aarch64-windows/shell32.dll	1769472	15400960	17891328	1785109610
VKMT	wine/build-ec/dxmt-v0.80/aarch64-unix/winemetal.so	16875520	10511440	27386960	1785514565
VKMT	wine/build-ec/dlls/opengl32/aarch64-windows/opengl32.dll	2424832	8060928	11468800	1785263189
VKMT	wine/build-ec/dlls/user32/aarch64-windows/user32.dll	1835008	7602176	10027008	1785109528
VKMT	wine/build-ec/dlls/kernelbase/aarch64-windows/kernelbase.dll	1638400	7274496	9502720	1785515148
VKMT	wine/build-ec/dlls/ntdll/aarch64-windows/ntdll.dll	1507328	5373952	7340032	1785590993
VKMT	wine/build-ec/dlls/ucrtbase/aarch64-windows/ucrtbase.dll	1703936	5308416	7471104	1785109527
VKMT	wine/build-ec/dlls/ole32/aarch64-windows/ole32.dll	1310720	5177344	7012352	1785109510
VKMT	wine/build-ec/dlls/msvcrt/aarch64-windows/msvcrt.dll	1441792	4521984	6291456	1785449315
VKMT	wine/build-ec/dlls/wined3d/aarch64-windows/wined3d.dll	65536	4390912	51052544	1785109542
VKMT	wine/build-ec/dlls/oleaut32/aarch64-windows/oleaut32.dll	1376256	4194304	6094848	1785109510
VKMT	wine/build-ec/dlls/gdi32/aarch64-windows/gdi32.dll	1179648	3538944	4980736	1785109471
VKMT	wine/build-ec/dlls/rpcrt4/aarch64-windows/rpcrt4.dll	1179648	3407872	5177344	1785426507
VKMT	wine/wine-11.12/nls/sortdefault.nls	0	3394804	3394804	1785107532
VKMT	wine/build-ec/dlls/mfplat/aarch64-windows/mfplat.dll	917504	3145728	4456448	1785109484
VKMT	wine/build-ec/dlls/wininet/aarch64-windows/wininet.dll	917504	2686976	3801088	1785109544
VKMT	wine/build-ec/dlls/kernel32/aarch64-windows/kernel32.dll	786432	2555904	3604480	1785319729
VKMT	wine/build-ec/dlls/winhttp/aarch64-windows/winhttp.dll	720896	2031616	3080192	1785478917
VKMT	wine/build-ec/dlls/xaudio2_9/aarch64-windows/xaudio2_9.dll	786432	2031616	3145728	1785109556
VKMT	wine/build-ec/dlls/wined3d/aarch64-windows/wined3d.dll	0	1703936	51052544	1785109542
VKMT	wine/build-ec/dlls/shlwapi/aarch64-windows/shlwapi.dll	720896	1638400	2686976	1785109521
VKMT	wine/build-ec/dlls/mfreadwrite/aarch64-windows/mfreadwrite.dll	524288	1507328	2293760	1785109485
VKMT	wine/build-ec/dlls/win32u/win32u.so	0	1458176	2512904	1785584862
VKMT	wine/build-ec/dlls/opengl32/aarch64-windows/opengl32.dll	65536	1376256	11468800	1785263189
VKMT	wine/build-ec/dlls/ucrtbase/aarch64-windows/ucrtbase.dll	65536	1245184	7471104	1785109527
VKMT	wine/build-ec/dlls/user32/aarch64-windows/user32.dll	65536	1245184	10027008	1785109528
VKMT	wine/build-ec/dlls/uxtheme/aarch64-windows/uxtheme.dll	655360	1245184	2031616	1785109529
VKMT	wine/build-ec/dlls/ws2_32/aarch64-windows/ws2_32.dll	524288	1245184	1900544	1785471231
VKMT	wine/build-ec/dlls/propsys/aarch64-windows/propsys.dll	524288	1179648	1966080	1785109513
VKMT	wine/build-ec/dlls/shell32/aarch64-windows/shell32.dll	65536	1114112	17891328	1785109610
VKMT	wine/build-ec/dlls/imm32/aarch64-windows/imm32.dll	458752	1048576	1638400	1785109476
VKMT	wine/build-ec/dlls/kernelbase/aarch64-windows/kernelbase.dll	65536	1048576	9502720	1785515148
VKMT	wine/build-ec/dlls/msvcrt/aarch64-windows/msvcrt.dll	65536	1048576	6291456	1785449315
VKMT	wine/build-ec/dlls/ntdll/aarch64-windows/ntdll.dll	0	983040	7340032	1785590993
VKMT	wine/build-ec/dlls/jsproxy/aarch64-windows/jsproxy.dll	393216	917504	1507328	1785109480
VKMT	wine/build-ec/dlls/opengl32/aarch64-windows/opengl32.dll	0	917504	11468800	1785263189
VKMT	wine/build-ec/dlls/sechost/aarch64-windows/sechost.dll	458752	917504	1507328	1785426043
VKMT	wine/build-ec/dlls/mpr/aarch64-windows/mpr.dll	393216	851968	1310720	1785109487
